;;;;

					1124				;Elevador;Geometria Computacional;
					1.542				;3

					1125				;Fórmula 1;Ad-Hoc;
					835				;4

					1126				;Guerra nas Estrelas;Geometria Computacional;
					68				;9

					1127				;Plágio Musical;Ad-Hoc;
					458				;6

					1128				;Ir e Vir;Grafos;
					1.481				;5

					1129				;Leitura Ótica;Ad-Hoc;
					4.036				;2

					1130				;Jogo da Velha;Ad-Hoc;
					97				;9

					1131				;Grenais;Iniciante;
					14.777				;1

					1132				;Múltiplos de 13;Iniciante;
					20.053				;1

					1133				;Resto da Divisão;Iniciante;
					18.633				;1

					1134				;Tipo de Combustível;Iniciante;
					19.978				;1

					1135				;Colônia de Formigas;Grafos;
					703				;4

					1136				;Bingo!;Ad-Hoc;
					1.610				;3

					1137				;Pontos Cocirculares;Geometria Computacional;
					266				;6

					1138				;Contagem de Dígitos;Ad-Hoc;
					633				;5

					1139				;Necessidades Elétricas;Ad-Hoc;
					31				;9

					1140				;Flores Florescem da França;Ad-Hoc;
					2.999				;3

					1141				;Cultivando Strings;Strings;
					272				;9

					1142				;PUM;Iniciante;
					21.544				;1

					1143				;Quadrado e ao Cubo;Iniciante;
					19.379				;1

					1144				;Sequência Lógica;Iniciante;
					16.032				;1

					1145				;Sequência Lógica 2;Iniciante;
					15.812				;1

					1146				;Sequências Crescentes;Iniciante;
					17.258				;1

					1147				;Fuga do Cavalo;Ad-Hoc;
					699				;3

					1148				;Países em Guerra;Grafos;
					2.364				;3

					1149				;Somando Inteiros Consecutivos;Iniciante;
					13.356				;1

					1150				;Ultrapassando Z;Iniciante;
					12.330				;1

					1151				;Fibonacci Fácil;Iniciante;
					20.596				;1

					1152				;Estradas Escuras;Grafos;
					2.622				;3

					1153				;Fatorial Simples;Iniciante;
					22.007				;1

					1154				;Idades;Iniciante;
					18.854				;1

					1155				;Sequência S;Iniciante;
					14.749				;1

					1156				;Sequência S II;Iniciante;
					13.128				;1

					1157				;Divisores I;Iniciante;
					17.986				;1

					1158				;Soma de Ímpares Consecutivos III;Iniciante;
					14.189				;1

					1159				;Soma de Pares Consecutivos;Iniciante;
					14.374				;1

					1160				;Crescimento Populacional;Iniciante;
					12.426				;2

					1161				;Soma de Fatoriais;Matemática;
					9.842				;1

					1162				;Organizador de Vagões;Estruturas e Bibliotecas;
					2.913				;3

					1163				;Angry Ducks;Matemática;
					691				;5

					1164				;Número Perfeito;Iniciante;
					17.254				;1

					1165				;Número Primo;Iniciante;
					18.384				;1

					1166				;Torre de Hanoi, Novamente!;Paradigmas;
					496				;5

					1167				;Acampamento de Férias;Estruturas e Bibliotecas;
					1.130				;3

					1168				;LED;Strings;
					15.930				;1

					1169				;Trigo no Tabuleiro;Matemática;
					4.233				;1

					1170				;Blobs;Matemática;
					7.100				;1

					1171				;Frequência de Números;Ad-Hoc;
					6.635				;2

					1172				;Substituição em Vetor I;Iniciante;
					29.127				;1

					1173				;Preenchimento de Vetor I;Iniciante;
					26.568				;1

					1174				;Seleçao em Vetor I;Iniciante;
					22.658				;1

					1175				;Troca em Vetor I;Iniciante;
					23.406				;1

					1176				;Fibonacci em Vetor;Iniciante;
					17.566				;1

					1177				;Preenchimento de Vetor II;Iniciante;
					20.251				;1

					1178				;Preenchimento de Vetor III;Iniciante;
					18.548				;1

					1179				;Preenchimento de Vetor IV;Iniciante;
					14.086				;1

					1180				;Menor e Posição;Iniciante;
					22.729				;1

					1181				;Linha na Matriz;Iniciante;
					19.432				;1

					1182				;Coluna na Matriz;Iniciante;
					17.123				;1

					1183				;Acima da Diagonal Principal;Iniciante;
					16.076				;1

					1184				;Abaixo da Diagonal Principal;Iniciante;
					12.782				;1

					1185				;Acima da Diagonal Secundária;Iniciante;
					12.223				;1

					1186				;Abaixo da Diagonal Secundária;Iniciante;
					12.305				;1

					1187				;Área Superior;Iniciante;
					12.182				;1

					1188				;Área Inferior;Iniciante;
					10.416				;1

					1189				;Área Esquerda;Iniciante;
					10.000				;1

					1190				;Área Direita;Iniciante;
					10.324				;1

					1191				;Recuperação da Árvore;Grafos;
					1.346				;4

